epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.87276,1.24645,0.52632,1,1.45103,2.222e-05,2.222e-05,2.222e-05
2,5.84164,1.24011,0.84211,1,1.34679,5.37169e-05,5.37169e-05,5.37169e-05
3,8.12875,1.16875,0.84211,1,1.20467,8.30139e-05,8.30139e-05,8.30139e-05
4,10.564,1.17196,0.84211,1,1.04078,0.000110111,0.000110111,0.000110111
5,12.8682,1.09163,0.94737,1,0.97604,0.000135009,0.000135009,0.000135009
6,15.2204,1.03422,1,1,0.68382,0.000157706,0.000157706,0.000157706
7,17.6735,1.02567,1,1,0.55119,0.000178204,0.000178204,0.000178204
8,19.9496,0.90486,1,1,0.44061,0.000196503,0.000196503,0.000196503
9,22.2658,0.88488,1,1,0.46655,0.000212601,0.000212601,0.000212601
10,24.5494,0.78814,1,1,0.3069,0.0002265,0.0002265,0.0002265
11,26.9131,0.85907,1,1,0.26754,0.000238198,0.000238198,0.000238198
12,29.2412,0.83081,1,1,0.20693,0.000247697,0.000247697,0.000247697
13,31.774,0.7162,1,1,0.13916,0.000254997,0.000254997,0.000254997
14,34.2044,0.63363,1,1,0.10848,0.000260096,0.000260096,0.000260096
15,36.6649,0.68289,1,1,0.16126,0.000262996,0.000262996,0.000262996
16,39.0195,0.60327,1,1,0.06577,0.000263696,0.000263696,0.000263696
17,41.4326,0.65129,1,1,0.09378,0.000262196,0.000262196,0.000262196
18,43.7188,0.6233,1,1,0.08074,0.000258496,0.000258496,0.000258496
19,46.0786,0.51866,1,1,0.11313,0.000252597,0.000252597,0.000252597
20,48.3672,0.5547,1,1,0.0516,0.000244498,0.000244498,0.000244498
21,50.6573,0.48829,1,1,0.10888,0.000234199,0.000234199,0.000234199
22,52.9956,0.64001,1,1,0.0484,0.0002217,0.0002217,0.0002217
23,55.2866,0.40313,1,1,0.04612,0.000207002,0.000207002,0.000207002
24,57.6167,0.56681,1,1,0.03662,0.000190103,0.000190103,0.000190103
25,59.9516,0.41275,1,1,0.0312,0.000171005,0.000171005,0.000171005
26,62.3298,0.78305,1,1,0.03488,0.000149707,0.000149707,0.000149707
27,64.6224,0.4615,1,1,0.03504,0.00012621,0.00012621,0.00012621
28,66.9656,0.48307,1,1,0.08013,0.000100512,0.000100512,0.000100512
29,69.2188,0.38643,1,1,0.08013,7.2615e-05,7.2615e-05,7.2615e-05
30,71.7096,0.62578,1,1,0.04153,4.2518e-05,4.2518e-05,4.2518e-05
