epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.48503,1.33258,0.87097,1,1.47139,3.333e-05,3.333e-05,3.333e-05
2,19.1025,1.2979,0.58065,1,1.38667,7.52036e-05,7.52036e-05,7.52036e-05
3,22.7258,1.1789,0.83871,1,1.2168,0.000114144,0.000114144,0.000114144
4,26.3185,1.0952,0.90323,1,1.01124,0.000150152,0.000150152,0.000150152
5,29.9266,0.94719,0.90323,1,0.80376,0.000183226,0.000183226,0.000183226
6,33.5338,0.8888,0.90323,1,0.70897,0.000213368,0.000213368,0.000213368
7,37.4357,0.83461,0.93548,1,0.52394,0.000240576,0.000240576,0.000240576
8,41.1861,0.75353,0.93548,1,0.43808,0.000264851,0.000264851,0.000264851
9,44.8464,0.61653,0.93548,1,0.3769,0.000286194,0.000286194,0.000286194
10,48.6298,0.55228,0.93548,1,0.30535,0.000304603,0.000304603,0.000304603
11,52.3497,0.56738,0.93548,1,0.24133,0.000320079,0.000320079,0.000320079
12,56.0667,0.61238,0.93548,1,0.22033,0.000332622,0.000332622,0.000332622
13,59.6991,0.46499,0.93548,1,0.2045,0.000342232,0.000342232,0.000342232
14,63.2581,0.39863,0.93548,1,0.18253,0.00034891,0.00034891,0.00034891
15,66.9848,0.46546,0.93548,1,0.15887,0.000352654,0.000352654,0.000352654
16,70.859,0.39358,0.93548,1,0.15894,0.000353465,0.000353465,0.000353465
17,74.7467,0.30482,0.93548,1,0.19487,0.000351343,0.000351343,0.000351343
18,78.616,0.37445,0.93548,1,0.17209,0.000346288,0.000346288,0.000346288
19,82.4241,0.31601,0.93548,1,0.17186,0.0003383,0.0003383,0.0003383
20,86.2942,0.37738,0.93548,1,0.13303,0.000327378,0.000327378,0.000327378
21,90.1671,0.37505,0.93548,1,0.11019,0.000313524,0.000313524,0.000313524
22,93.9768,0.43205,0.93548,1,0.11611,0.000296737,0.000296737,0.000296737
23,97.8777,0.25477,0.93548,1,0.10349,0.000277017,0.000277017,0.000277017
24,101.626,0.43021,0.93548,1,0.1027,0.000254363,0.000254363,0.000254363
25,105.28,0.19099,0.93548,1,0.09179,0.000228777,0.000228777,0.000228777
26,108.798,0.49432,0.93548,1,0.09182,0.000194425,0.000194425,0.000194425
27,112.374,0.17089,0.93548,1,0.09064,0.000157762,0.000157762,0.000157762
28,115.972,0.22547,0.93548,1,0.09287,0.000121099,0.000121099,0.000121099
29,119.525,0.25079,0.93548,1,0.08908,8.4436e-05,8.4436e-05,8.4436e-05
30,123.082,0.16113,0.93548,1,0.09381,4.7773e-05,4.7773e-05,4.7773e-05
