epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.16254,1.78437,0,1,2.10948,0,0,0
2,6.26669,1.77104,0,1,2.06774,1.089e-05,1.089e-05,1.089e-05
3,7.01135,1.77215,0,1,2.01065,2.13401e-05,2.13401e-05,2.13401e-05
4,7.70137,1.72495,0,1,1.93877,3.13502e-05,3.13502e-05,3.13502e-05
5,8.41642,1.72323,0,1,1.86293,4.09204e-05,4.09204e-05,4.09204e-05
6,9.12081,1.65421,0,1,1.78563,5.00506e-05,5.00506e-05,5.00506e-05
7,9.86374,1.64665,0,1,1.68135,5.87408e-05,5.87408e-05,5.87408e-05
8,10.6019,1.56121,0,1,1.58135,6.69911e-05,6.69911e-05,6.69911e-05
9,11.323,1.57115,0,1,1.58135,7.48014e-05,7.48014e-05,7.48014e-05
10,12.0574,1.43798,0.8,1,1.44697,8.21718e-05,8.21718e-05,8.21718e-05
11,12.8174,1.41046,0.8,1,1.44697,8.91022e-05,8.91022e-05,8.91022e-05
12,13.6327,1.38631,0.8,1,1.29824,9.55927e-05,9.55927e-05,9.55927e-05
13,14.3528,1.22011,0.8,1,1.29824,0.000101643,0.000101643,0.000101643
14,15.1818,1.26484,0.8,1,1.14509,0.000107254,0.000107254,0.000107254
15,15.9531,1.06292,0.8,1,1.14509,0.000112424,0.000112424,0.000112424
16,16.7791,1.22495,1,1,1.00309,0.000117155,0.000117155,0.000117155
17,18.0524,0.97782,1,1,1.00309,0.000121446,0.000121446,0.000121446
18,18.7575,1.04335,1,1,0.84761,0.000125296,0.000125296,0.000125296
19,19.4245,0.94434,1,1,0.84761,0.000128707,0.000128707,0.000128707
20,20.1151,0.90673,1,1,0.69664,0.000131678,0.000131678,0.000131678
21,20.7722,0.79378,1,1,0.69664,0.000134209,0.000134209,0.000134209
22,21.4491,0.80942,1,1,0.57433,0.0001363,0.0001363,0.0001363
23,22.1022,0.67731,1,1,0.57433,0.000137951,0.000137951,0.000137951
24,22.7546,0.67975,1,1,0.57433,0.000139162,0.000139162,0.000139162
25,23.4178,0.68573,1,1,0.45778,0.000139933,0.000139933,0.000139933
26,24.0832,0.56487,1,1,0.45778,0.000140264,0.000140264,0.000140264
27,24.7413,0.55093,1,1,0.45778,0.000140155,0.000140155,0.000140155
28,25.4413,0.6237,1,1,0.38409,0.000139606,0.000139606,0.000139606
29,26.1019,0.61787,1,1,0.38409,0.000138617,0.000138617,0.000138617
30,26.806,0.49572,1,1,0.38409,0.000137189,0.000137189,0.000137189
31,27.4764,0.49381,1,1,0.32044,0.00013532,0.00013532,0.00013532
32,28.1354,0.42872,1,1,0.32044,0.000133011,0.000133011,0.000133011
33,28.809,0.36605,1,1,0.32044,0.000130263,0.000130263,0.000130263
34,29.4817,0.44664,1,1,0.26657,0.000127074,0.000127074,0.000127074
35,30.1497,0.36515,1,1,0.26657,0.000123445,0.000123445,0.000123445
36,30.8036,0.4177,1,1,0.26657,0.000119377,0.000119377,0.000119377
37,31.462,0.36198,1,1,0.26657,0.000114869,0.000114869,0.000114869
38,32.1415,0.44339,1,1,0.23375,0.00010992,0.00010992,0.00010992
39,32.7969,0.2791,1,1,0.23375,0.000104532,0.000104532,0.000104532
40,33.4494,0.40748,1,1,0.23375,9.87035e-05,9.87035e-05,9.87035e-05
41,34.1253,0.33289,1,1,0.23375,9.24352e-05,9.24352e-05,9.24352e-05
42,34.8064,0.38262,1,1,0.20109,8.5727e-05,8.5727e-05,8.5727e-05
43,35.4907,0.3354,1,1,0.20109,7.85788e-05,7.85788e-05,7.85788e-05
44,36.1547,0.31971,1,1,0.20109,7.09907e-05,7.09907e-05,7.09907e-05
45,36.8603,0.30877,1,1,0.20109,6.29626e-05,6.29626e-05,6.29626e-05
46,37.8804,0.29054,1,1,0.19072,5.44945e-05,5.44945e-05,5.44945e-05
47,38.5499,0.27105,1,1,0.19072,4.55866e-05,4.55866e-05,4.55866e-05
48,39.257,0.25979,1,1,0.19072,3.62386e-05,3.62386e-05,3.62386e-05
49,39.9207,0.30154,1,1,0.19072,2.64507e-05,2.64507e-05,2.64507e-05
50,40.6187,0.31411,1,1,0.18784,1.62228e-05,1.62228e-05,1.62228e-05
