epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.69296,1.10536,0.33333,1,1.48996,1.111e-05,1.111e-05,1.111e-05
2,6.39451,1.0624,0.61111,1,1.44582,3.16802e-05,3.16802e-05,3.16802e-05
3,10.074,1.06604,0.88889,1,1.35619,5.00506e-05,5.00506e-05,5.00506e-05
4,14.351,0.99548,0.88889,1,1.24921,6.62212e-05,6.62212e-05,6.62212e-05
5,18.9006,0.94264,0.88889,1,1.08337,8.0192e-05,8.0192e-05,8.0192e-05
6,22.9757,0.9495,0.88889,1,1.09835,9.1963e-05,9.1963e-05,9.1963e-05
7,27.0219,0.88545,1,1,0.84283,0.000101534,0.000101534,0.000101534
8,31.3289,0.83604,1,1,0.82544,0.000108906,0.000108906,0.000108906
9,35.4871,0.72964,1,1,0.64534,0.000114077,0.000114077,0.000114077
10,38.3092,0.67607,1,1,0.56134,0.000117049,0.000117049,0.000117049
11,41.3085,0.71775,1,1,0.44594,0.000117822,0.000117822,0.000117822
12,44.2626,0.63699,1,1,0.44594,0.000116394,0.000116394,0.000116394
13,47.0986,0.63774,1,1,0.41957,0.000112767,0.000112767,0.000112767
14,49.306,0.62294,1,1,0.36202,0.000106939,0.000106939,0.000106939
15,51.638,0.6833,1,1,0.30408,9.89123e-05,9.89123e-05,9.89123e-05
16,53.856,0.46411,1,1,0.23465,8.86856e-05,8.86856e-05,8.86856e-05
17,56.1966,0.52087,1,1,0.26793,7.6259e-05,7.6259e-05,7.6259e-05
18,59.2044,0.62305,1,1,0.27012,6.16327e-05,6.16327e-05,6.16327e-05
19,62.2879,0.50678,1,1,0.22014,4.48066e-05,4.48066e-05,4.48066e-05
20,65.2413,0.54766,1,1,0.22014,2.57808e-05,2.57808e-05,2.57808e-05
